source,target,direction
SPDEF,SPDEF,+
PRR12,PRR12,+
PRR12,CC2D1A,-
PRR12,ZNF598,+
PRR12,CXXC1,-
PRR12,DOT1L,-
PRR12,SNAPC4,+
PRR12,ZNF213,+
PRR12,ZNF768,-
PRR12,ZNF646,-
PRR12,ZNF296,-
PRR12,FBXL19,-
PRR12,ZNF574,+
PRR12,ZGPAT,-
PRR12,ZNF628,+
PRR12,HSF1,-
PRR12,E4F1,+
PRR12,CENPT,-
PRR12,CIC,+
PRR12,KLF16,-
PRR12,WIZ,-
PRR12,KMT2B,+
PRR12,MYPOP,-
PRR12,ZBTB45,+
PRR12,ZNF865,-
PRR12,ZNF205,-
PRR12,ZNF500,-
PRR12,ESRRA,-
PRR12,ZNF316,-
ZBTB37,ZBTB37,-
ZBTB37,ZNF805,-
CC2D1A,MLXIPL,+
MYSM1,ZBTB37,+
MYSM1,MYSM1,+
MYSM1,ZNF292,-
MYSM1,ZNF148,+
MYSM1,BPTF,-
MYSM1,IKZF5,+
MYSM1,ZNF780B,-
MYSM1,ZNF800,-
MYSM1,DMTF1,-
MYSM1,ZBTB11,-
MYSM1,ZZZ3,+
MYSM1,ZNF451,-
MYSM1,EEA1,+
MYSM1,ZNF644,+
MYSM1,ZNF507,+
MYSM1,RBAK,-
MYSM1,ZNF621,+
MYSM1,ZNF518A,-
MYSM1,XPA,+
MYSM1,ZKSCAN8,-
MYSM1,ZNF354B,-
MYSM1,ASH1L,+
MYSM1,KMT2A,-
MYSM1,USF3,-
SNAI1,ETV3L,+
SNAI1,EGR4,+
TP53,ZFY,-
ZMAT4,SKOR2,+
ZMAT4,NEUROD6,+
ZMAT4,MYT1L,+
ISX,CDX1,+
SAFB2,SGSM2,+
SAFB2,ZNF251,-
SAFB2,ZNF577,+
SAFB2,ZNF891,+
SAFB2,ZNF514,+
SAFB2,L3MBTL1,+
SAFB2,CENPT,+
SAFB2,ZNF783,+
SAFB2,GLI4,+
SAFB2,ZNF83,+
SAFB2,ZNF692,+
SAFB2,PRDM15,+
SAFB2,MZF1,+
ZNF770,CDC5L,-
ZNF770,ZNF148,-
ZNF770,DR1,+
ZNF770,ZUP1,-
ZNF770,IKZF5,-
ZNF770,PRMT3,-
ZNF770,CREB1,-
ZNF770,ZBTB11,-
ZNF770,THAP5,-
ZNF770,ZZZ3,-
ZNF770,ZNF451,-
ZNF770,ZNF146,-
ZNF770,FOXN2,-
ZNF770,ZNF644,-
ZNF770,MTF2,-
ZNF770,GABPA,+
ZNF770,ZNF24,-
ZNF770,ZNF131,-
ZNF770,ATF1,+
ZNF770,CEBPZ,+
ZNF770,ZBTB33,-
ZNF770,AHCTF1,-
ZNF770,SP3,-
ZNF770,ZNF678,+
ZNF770,THAP12,-
ATF5,NR1I2,+
RBCK1,ZBTB48,+
RBCK1,ZNF335,-
RBCK1,CENPT,+
RBCK1,ZNF692,+
RBCK1,IRF3,+
CCDC17,CCDC17,-
CCDC17,ZNF474,-
CCDC17,TIGD4,-
MYT1,NEUROD4,-
MYT1,NEUROD1,-
MYT1,PHOX2B,-
MYT1,RAX,+
MYT1,MYT1,-
MYT1,LBX1,-
MYT1,FEV,-
MYT1,ST18,-
MYT1,GSX1,-
MYT1,POU4F2,-
MYT1,HMX1,-
MYT1,POU4F1,-
MYT1,RFX4,-
MYT1,UNCX,-
MYT1,CUX2,-
MYT1,POU3F4,-
MYT1,TLX3,-
MYT1,NEUROD6,-
MYT1,ZNF491,-
MYT1,BHLHE22,-
MYT1,NEUROG2,-
MYT1,NEUROG1,-
MYT1,INSM1,-
MYT1,ONECUT1,-
MYT1,FOXN4,-
MYT1,BARHL1,+
MYT1,ASCL1,-
MYT1,CSRNP3,-
MYT1,ZNF804B,-
MYT1,ESRRG,-
MYT1,NHLH2,-
MYT1,DACH2,-
MYT1,SCRT1,-
MYT1,MYT1L,-
MYT1,DBX1,+
MYT1,EVX2,-
MYT1,ZNF536,-
MYT1,PTF1A,-
MYT1,SCRT2,-
MYT1,BHLHE23,-
TSHZ3,TSHZ3,-
TSHZ3,TWIST1,-
TSHZ3,RFX4,-
TSHZ3,BNC2,-
TSHZ3,ALX3,-
TSHZ3,PAX3,-
TSHZ3,TFAP2B,+
TSHZ3,DBX1,-
TSHZ3,PRRX1,-
TSHZ3,AEBP1,-
TSHZ3,ZFHX4,-
TSHZ3,CREB3L1,+
TSHZ3,GLIS1,+
HMGA2,E2F2,+
HMGA2,GLYR1,+
HMGA2,SNAI2,+
HMGA2,ZNF281,+
HMGA2,TFAP2C,+
HMGA2,ZBTB38,+
HMGA2,ZBTB39,+
HMGA2,ZNF850,-
HMGA2,ZNF90,+
HMGA2,MAZ,+
HMGA2,ZNF732,+
HMGA2,HMGA2,+
HMGA2,MECOM,+
HMGA2,CDC5L,+
HMGA2,IRX1,+
HMGA2,PITX2,+
HMGA2,FOXP1,+
HMGA2,ZNF714,-
HMGA2,DLX1,+
HMGA2,NR3C1,+
HMGA2,TFDP1,+
HMGA2,NR1D2,+
HMGA2,PCGF6,+
HMGA2,DR1,-
HMGA2,ZNF207,+
HMGA2,ETV5,-
HMGA2,CHAMP1,+
HMGA2,MSANTD3,+
HMGA2,MGA,+
HMGA2,ZNF587B,+
HMGA2,OSR1,-
HMGA2,CENPA,+
HMGA2,BNC1,+
HMGA2,ZNF175,+
HMGA2,ZEB1,-
HMGA2,ZNF695,+
HMGA2,NFE2L3,-
HMGA2,TFAP4,-
HMGA2,LIN28B,+
HMGA2,MBNL2,-
HMGA2,PBX3,-
HMGA2,ZFP91,-
HMGA2,TWIST1,+
HMGA2,SMAD5,+
HMGA2,GATAD2A,+
HMGA2,PRMT3,+
HMGA2,KLF6,+
HMGA2,SMAD3,+
HMGA2,TP73,-
HMGA2,ZBTB2,+
HMGA2,ZBTB21,+
HMGA2,DPF3,+
HMGA2,FOXA1,+
HMGA2,SIM2,-
HMGA2,E2F8,-
HMGA2,ZNF283,+
HMGA2,TBX18,+
HMGA2,PURB,-
HMGA2,BBX,+
HMGA2,LIN54,-
HMGA2,NRF1,+
HMGA2,DNMT1,+
HMGA2,RUNX1,+
HMGA2,LCORL,-
HMGA2,TFCP2,-
HMGA2,SAFB,+
HMGA2,CGGBP1,+
HMGA2,TBX3,+
HMGA2,CREB3L2,+
HMGA2,ZNF202,+
HMGA2,HOXC8,+
HMGA2,REST,+
HMGA2,MTERF3,+
HMGA2,ZBTB11,+
HMGA2,E2F1,+
HMGA2,SIX1,-
HMGA2,VEZF1,-
HMGA2,DRAP1,+
HMGA2,ZNF486,-
HMGA2,ZZZ3,-
HMGA2,TCF20,+
HMGA2,FOSL1,-
HMGA2,NFYC,-
HMGA2,ZNF146,+
HMGA2,E2F7,-
HMGA2,EEA1,+
HMGA2,POGK,+
HMGA2,ZNF45,+
HMGA2,ZNF217,+
HMGA2,PHF20,-
HMGA2,ZNF699,-
HMGA2,FOXC2,+
HMGA2,THAP4,+
HMGA2,HMGA1,+
HMGA2,SOX9,+
HMGA2,MYBL1,+
HMGA2,ZNF749,+
HMGA2,MBD2,+
HMGA2,ZNF23,+
HMGA2,TIGD2,-
HMGA2,ZNF326,+
HMGA2,ZNF544,+
HMGA2,TWIST2,+
HMGA2,ZNF367,+
HMGA2,FOXM1,+
HMGA2,ZHX3,+
HMGA2,FOXD1,-
HMGA2,KLF17,-
HMGA2,CHCHD3,-
HMGA2,MXD3,-
HMGA2,CLOCK,+
HMGA2,ZNF530,+
HMGA2,TCF12,+
HMGA2,ZNF131,+
HMGA2,ATF1,-
HMGA2,ADNP,+
HMGA2,NR0B1,+
HMGA2,NPAS2,-
HMGA2,TBP,+
HMGA2,PLAGL2,+
HMGA2,ZNF724,-
HMGA2,RUNX2,+
HMGA2,ZNF22,-
HMGA2,YY1,+
HMGA2,CENPB,-
HMGA2,ZNF614,+
HMGA2,NKRF,-
HMGA2,MYC,+
HMGA2,TEAD1,+
HMGA2,ZNF551,+
HMGA2,CEBPZ,-
HMGA2,TEAD4,+
HMGA2,TGIF2,+
HMGA2,ZNF639,+
HMGA2,JRK,-
HMGA2,ZNF473,+
HMGA2,ZNF215,-
HMGA2,ETS1,+
HMGA2,CTCF,+
HMGA2,MYBL2,+
HMGA2,E2F4,-
HMGA2,NME2,-
HMGA2,GPBP1L1,-
HMGA2,ZBTB33,-
HMGA2,FOXJ3,+
HMGA2,SIX4,-
HMGA2,KCMF1,+
HMGA2,GATA6,+
HMGA2,HOXD11,+
HMGA2,ZNF318,-
HMGA2,ETV4,+
HMGA2,ZNF474,-
HMGA2,SRY,+
HMGA2,ETV1,+
HMGA2,HIF1A,-
HMGA2,ZBTB9,+
HMGA2,SP5,+
HMGA2,AEBP2,+
HMGA2,ELK3,+
HMGA2,SON,+
HMGA2,CENPS,-
HMGA2,AHCTF1,-
HMGA2,TCF3,+
HMGA2,ADNP2,+
HMGA2,FOXL1,+
HMGA2,NFYA,+
HMGA2,ARHGAP35,+
HMGA2,ZNF567,+
HMGA2,RARB,+
HMGA2,KLF7,+
HMGA2,HOXC6,-
HMGA2,YBX1,-
HMGA2,GTF3A,+
HMGA2,MSANTD4,-
HMGA2,POU2F1,+
HMGA2,NFYB,-
HMGA2,HOXD12,+
HMGA2,FOXF2,+
HMGA2,ZNF280C,+
HMGA2,LCOR,+
HMGA2,HIVEP1,+
HMGA2,ZNF566,-
HMGA2,ZFHX4,-
HMGA2,HOXD13,+
HMGA2,CREB3L1,+
HMGA2,ZNF180,+
HMGA2,HOXC11,+
HMGA2,UBP1,+
HMGA2,ZNF730,+
HMGA2,HOXA11,+
HMGA2,GLIS3,+
HMGA2,ZNF788P,-
HMGA2,ZBED4,+
HMGA2,MLX,-
HMGA2,FOSL2,+
HMGA2,NR2F2,-
HMGA2,SCMH1,-
HMGA2,MYF5,+
HMGA2,E2F3,+
HMGA2,SRF,+
HMGA2,CENPX,-
HMGA2,PA2G4,-
HMGA2,THAP12,-
HMGA2,ARNTL2,+
MLXIPL,HNF4A,-
MLXIPL,ARID3C,-
MLXIPL,ONECUT1,+
MLXIPL,NR1I3,+
MLXIPL,NR1H4,-
ZNF777,ZNF777,-
ZNF777,THAP7,-
ZNF777,ZNF598,+
ZNF777,GATAD2A,-
ZNF777,SNAPC2,-
ZNF777,SNAPC4,+
ZNF777,ZNF768,-
ZNF777,ZNF282,+
ZNF777,ZNF574,+
ZNF777,ZNF324,+
ZNF777,ZNF579,-
ZNF777,ZNF142,+
ZNF777,HSF1,+
ZNF777,THAP4,-
ZNF777,REXO4,+
ZNF777,E4F1,-
ZNF777,KLF16,-
ZNF777,MBD3,-
ZNF777,WIZ,-
ZNF777,MYPOP,+
ZNF777,FIZ1,-
ZNF777,ZBTB45,-
ZNF777,ZNF865,-
ZNF777,ZNF205,+
ZNF777,ZBTB9,+
ZNF777,ESRRA,+
ZNF777,ZNF668,+
ZNF777,ZNF787,-
IRF4,POU2AF1,-
SOX7,SOX7,+
SOX7,SOX17,-
HNF4A,ISX,-
HNF4A,CDX2,-
HNF4A,MLXIPL,-
HNF4A,HNF4A,-
HNF4A,TBX10,-
HNF4A,HNF1A,-
HNF4A,TBX4,-
HNF4A,NR1I2,-
HNF4A,NR1I3,+
HNF4A,NR1H4,-
HNF4A,CREB3L3,+
HNF4A,CDX1,-
TFEC,SPI1,+
TFEC,CEBPE,-
TFEC,NR1H3,+
TFEC,RHOXF2B,-
TFEC,LTF,-
TFEC,ZNF683,-
RELB,MSC,+
RELB,IRF2,+
RELB,IRF1,+
RELB,IKZF3,+
RELB,GPBP1,+
RELB,IRF4,+
RELB,TFEC,+
RELB,RELB,+
RELB,IRF7,+
RELB,ZNF670,+
RELB,ASCL2,+
RELB,ETV3L,-
RELB,NR4A3,+
RELB,TRAFD1,+
RELB,IRF8,+
RELB,POU2F2,+
RELB,AIRE,+
RELB,RELA,+
RELB,PLSCR1,+
RELB,SP140,+
RELB,SP100,+
RELB,SPI1,+
RELB,USF1,+
RELB,SP140L,+
RELB,ZBTB32,-
RELB,ZBTB17,+
RELB,ETV7,+
RELB,BATF,+
RELB,ZNF267,+
RELB,REL,+
RELB,FOXP3,-
RELB,NFKB2,+
RELB,MTF1,+
RELB,STAT2,+
RELB,HESX1,+
RELB,STAT5A,+
RELB,ZNF705A,+
RELB,RUNX3,+
RELB,HIVEP2,+
RELB,ZNF438,+
RELB,ARID5A,+
RELB,STAT4,+
RELB,TBX21,+
RELB,HDX,+
RELB,ZNF394,+
RELB,IRF9,+
RELB,NFKB1,+
RELB,ZNF222,+
RELB,BATF2,+
RELB,HIVEP1,+
RELB,BATF3,+
RELB,SP110,+
RELB,STAT1,+
RELB,CREM,+
IRF7,IRF2,+
IRF7,IRF7,-
IRF7,ETV3L,-
IRF7,SP140,-
IRF7,ZBTB32,-
IRF7,ETV7,-
IRF7,FOXD4L1,-
IRF7,ZNF267,+
IRF7,HESX1,+
IRF7,ZNF200,+
IRF7,BATF2,-
IRF7,SP110,-
ZNF148,MYSM1,-
ZNF148,ZNF254,-
ZNF148,GPBP1,-
ZNF148,ZNF148,-
ZNF148,ZUP1,-
ZNF148,IKZF5,-
ZNF148,ZNF708,-
ZNF148,CREB1,-
ZNF148,ZBTB11,-
ZNF148,THAP5,-
ZNF148,ZNF451,-
ZNF148,ZBTB6,+
ZNF148,ZNF644,-
ZNF148,ZNF675,-
ZNF148,GABPA,-
ZNF148,THAP9,-
ZNF148,ZNF24,-
ZNF148,ZNF131,-
ZNF148,ZNF518A,-
ZNF148,ZNF92,-
ZNF148,SP3,-
ZNF148,ZNF678,-
ZNF148,MYNN,-
TFDP1,ZNF90,+
TFDP1,ZNF732,+
TFDP1,ZNF670,+
TFDP1,ZNF695,+
TFDP1,ZNF552,-
TFDP1,E2F8,+
TFDP1,LIN54,-
TFDP1,ZNF107,+
TFDP1,ZNF888,+
TFDP1,ZNF519,+
TFDP1,MTF2,+
TFDP1,ZNF367,+
TFDP1,ZNF43,+
TFDP1,ZNF530,+
TFDP1,ZNF724,+
TFDP1,ZNF726,+
TFDP1,ZNF100,+
TFDP1,ZNF730,+
TFDP1,ZNF788P,+
TFDP1,ZNF93,+
ZNF670,CDC5L,-
ZNF670,PCGF6,-
ZNF670,CENPA,-
ZNF670,ZNF695,+
ZNF670,LIN54,-
ZNF670,MTERF3,-
ZNF670,CHCHD3,-
ZNF670,TTF1,+
ZNF670,CENPS,+
HNF1B,HNF1B,+
YBX3,LBX1,+
YBX3,MYOG,-
YBX3,MYF6,+
YBX3,SOHLH2,+
YBX3,DMRT2,+
YBX3,PAX7,+
YBX3,TBX15,-
YBX3,ZNF556,-
YBX3,MYOD1,+
YBX3,ZNF280B,-
YBX3,NR2E3,-
YBX3,MYF5,+
OVOL1,BARX2,+
OVOL1,TFAP2C,+
OVOL1,ZNF732,+
OVOL1,ZFP57,-
OVOL1,SOX7,+
OVOL1,ZNF560,+
OVOL1,OVOL1,-
OVOL1,ASCL2,+
OVOL1,SOX15,-
OVOL1,POU5F1,-
OVOL1,ZSCAN16,-
OVOL1,SP6,+
OVOL1,EMX1,+
OVOL1,KLF5,-
OVOL1,GRHL3,-
OVOL1,ONECUT3,+
OVOL1,DLX3,-
OVOL1,ZFP42,-
OVOL1,IRF6,-
OVOL1,POU2F3,+
OVOL1,ZSCAN10,+
OVOL1,TFCP2L1,+
OVOL1,TP63,-
OVOL1,HES2,-
OVOL1,FOXE1,-
OVOL1,TBX6,+
OVOL1,HES5,+
OVOL1,LHX5,+
OVOL1,ZNF750,-
OVOL1,MESP2,-
OVOL1,SOX21,-
OVOL1,NHLH2,+
OVOL1,IRX5,-
OVOL1,OVOL2,+
OVOL1,FOXI3,+
OVOL1,GRHL1,+
OVOL1,FOXQ1,+
OVOL1,GRHL2,-
OVOL1,ZBED2,-
OVOL1,RBPJL,+
OVOL1,FOXI1,-
OVOL1,ELF3,+
OVOL1,FOXI2,+
OVOL1,NANOG,-
OVOL1,EVX1,+
OVOL1,DMRTA2,+
OVOL1,ZNF662,-
OVOL1,ZNF502,-
OVOL1,FOXN1,+
OVOL1,ELF5,+
OVOL1,EHF,-
OVOL1,ZNF165,-
OVOL1,ASCL5,+
BPTF,ZNF624,+
BPTF,ZNF417,+
BPTF,ZBTB37,-
BPTF,MYSM1,-
BPTF,FOXN3,-
BPTF,ZNF429,-
BPTF,ZNF254,-
BPTF,ZBTB39,+
BPTF,SAFB2,-
BPTF,ZNF770,+
BPTF,ZNF445,-
BPTF,ZNF292,-
BPTF,GPBP1,-
BPTF,ZFP3,+
BPTF,ELF1,-
BPTF,ZNF396,+
BPTF,ZNF625,-
BPTF,NFAT5,+
BPTF,ZNF546,-
BPTF,CDC5L,-
BPTF,ZNF460,+
BPTF,ZNF791,+
BPTF,NR2C1,+
BPTF,SP2,-
BPTF,CUX1,-
BPTF,ZNF714,-
BPTF,ZFP62,-
BPTF,ZNF609,+
BPTF,ZNF148,-
BPTF,ZBTB25,-
BPTF,ZNF616,+
BPTF,NR1D2,-
BPTF,ZNF223,-
BPTF,ZNF587,-
BPTF,ZNF251,-
BPTF,ZNF585B,-
BPTF,ZNF264,-
BPTF,BPTF,-
BPTF,PROX1,-
BPTF,ZUP1,+
BPTF,ZNF701,+
BPTF,ZNF493,+
BPTF,IKZF5,-
BPTF,TIGD1,+
BPTF,ZNF331,-
BPTF,ZNF337,-
BPTF,TCF4,-
BPTF,ZNF829,-
BPTF,MGA,+
BPTF,ZNF615,+
BPTF,ZNF654,-
BPTF,ZNF587B,+
BPTF,ZNF33B,-
BPTF,ZBED5,+
BPTF,ZNF680,+
BPTF,ZC3H8,+
BPTF,ZNF407,+
BPTF,ZNF852,-
BPTF,ZBTB1,-
BPTF,ZNF780B,-
BPTF,NR2C2,+
BPTF,ZNF430,-
BPTF,ZBTB40,+
BPTF,PROX2,+
BPTF,ZNF462,-
BPTF,ZNF717,-
BPTF,ZEB1,-
BPTF,ZNF510,+
BPTF,ZNF841,-
BPTF,ZNF154,-
BPTF,HSF2,+
BPTF,ZNF302,-
BPTF,ZEB2,-
BPTF,ZNF84,-
BPTF,ZNF345,-
BPTF,LIN28B,-
BPTF,MBNL2,-
BPTF,ZNF577,-
BPTF,NCOA3,-
BPTF,ZNF700,-
BPTF,ZNF286B,+
BPTF,ZNF891,-
BPTF,SMAD5,+
BPTF,ZNF800,+
BPTF,SETDB2,-
BPTF,ZNF611,-
BPTF,AKAP8,-
BPTF,ZFP90,-
BPTF,ZNF81,+
BPTF,ZNF674,-
BPTF,YY2,+
BPTF,ZBTB21,-
BPTF,PURA,-
BPTF,ZNF805,-
BPTF,ZNF549,-
BPTF,KAT7,-
BPTF,ZNF33A,-
BPTF,ZNF514,+
BPTF,ZNF799,+
BPTF,ZNF75D,-
BPTF,ZNF283,-
BPTF,TOPORS,+
BPTF,ZNF155,-
BPTF,BBX,-
BPTF,ZFAT,-
BPTF,PHF21A,-
BPTF,ZNF708,-
BPTF,LIN54,-
BPTF,ZNF721,+
BPTF,DNMT1,-
BPTF,L3MBTL1,-
BPTF,ZNF44,-
BPTF,ZNF334,-
BPTF,ZNF224,-
BPTF,ZNF737,-
BPTF,ZFX,-
BPTF,LCORL,+
BPTF,ZNF107,-
BPTF,ZNF37A,-
BPTF,SAFB,+
BPTF,DMTF1,-
BPTF,CGGBP1,-
BPTF,RFX3,-
BPTF,THAP6,+
BPTF,ZNF844,-
BPTF,CREB3L2,-
BPTF,ZNF202,+
BPTF,CREB1,+
BPTF,ZNF888,-
BPTF,NFIB,-
BPTF,ZNF431,-
BPTF,REST,-
BPTF,ZBTB41,-
BPTF,ZBTB11,-
BPTF,ATF7,-
BPTF,ZNF519,-
BPTF,THAP5,-
BPTF,FOXP2,-
BPTF,ZBED9,-
BPTF,ARNT,-
BPTF,ZNF660,+
BPTF,ZFPM2,-
BPTF,ZNF225,+
BPTF,VEZF1,+
BPTF,ZNF529,-
BPTF,ZNF596,+
BPTF,PRDM10,+
BPTF,ZNF736,+
BPTF,ZNF189,+
BPTF,ZZZ3,+
BPTF,ZNF709,-
BPTF,ZNF260,+
BPTF,ZNF506,-
BPTF,REL,-
BPTF,ELF2,+
BPTF,ZKSCAN3,+
BPTF,ZNF594,+
BPTF,ARID2,+
BPTF,ZNF451,-
BPTF,ZNF441,-
BPTF,TCF20,+
BPTF,ZNF80,+
BPTF,ZNF585A,-
BPTF,ZNF146,-
BPTF,NR6A1,-
BPTF,ZNF761,-
BPTF,ZBTB44,-
BPTF,EEA1,-
